method,gamma,return,volatility
CLARABEL,1.4337171187593845,0.3353344503000529,0.2834302058473534
CLARABEL,1.4791973977910886,0.3360052890025925,0.28685670766099136
CLARABEL,1.5261203992076604,0.3366973947840357,0.2904595827119198
CLARABEL,1.5745318889525834,0.3374114644985058,0.2942462395878452
CLARABEL,1.6244790847535535,0.3379560162757463,0.2971797192791947
CLARABEL,1.6760107021758872,0.3379562214344906,0.2971808282012859
CLARABEL,1.7291770021368176,0.3379562320804995,0.2971808835213453
CLARABEL,1.7840298399270484,0.33795622164761313,0.29718083945019436
CLARABEL,1.840622715787371,0.3379562295105765,0.2971808748643006
CLARABEL,1.8990108270896482,0.3379562316142336,0.29718088327008857
CLARABEL,1.9592511221731002,0.3379562323145048,0.29718088564380163
CLARABEL,2.0214023558883802,0.3379562321644214,0.29718088562979234
CLARABEL,2.085525146903598,0.33795623258761787,0.29718088642471663
CLARABEL,2.1516820368282206,0.3379562323865235,0.29718088558711825
CLARABEL,2.219937551212487,0.33795623186209367,0.2971808833398389
CLARABEL,2.2903582624818535,0.3379562308522319,0.29718087883274386
CLARABEL,2.363012854867819,0.3379562294014949,0.29718087323098297
CLARABEL,2.4379721913985044,0.3379562294012854,0.2971808742486955
CLARABEL,2.515309383014299,0.3379562316399488,0.2971808822739117
CLARABEL,2.5950998598759716,0.3379562317339326,0.29718088374775026
CLARABEL,2.677421444934833,0.33795622925985025,0.2971808769477774
CLARABEL,2.7623544298366736,0.3379562326697033,0.2971808864826433
CLARABEL,2.849981653233537,0.33795623254827983,0.2971808862487579
CLARABEL,2.940388581579667,0.3379562324377748,0.29718088609432125
CLARABEL,3.0336633924904794,0.33795623242957645,0.29718088613606086
CLARABEL,3.129897060745848,0.33795623246676904,0.29718088624149863
CLARABEL,3.2291834470215512,0.337956232369834,0.2971808859006932
CLARABEL,3.3316193894354806,0.33795623241110545,0.29718088581161933
CLARABEL,3.437304797997856,0.3379562325741421,0.2971808861822273
CLARABEL,3.546342752057603,0.33795623265585034,0.2971808864126362
CLARABEL,3.658839600839884,0.33795623268326574,0.2971808864929654
CLARABEL,3.7749050671729045,0.33795622970218225,0.29718087652263325
CLARABEL,3.8946523545051352,0.3379562307065601,0.29718088001979015
CLARABEL,4.018198257317296,0.3379562312921713,0.29718088204429177
CLARABEL,4.14566327503685,0.3379562317156968,0.29718088350648797
CLARABEL,4.277171729566093,0.3379562320222132,0.29718088456272596
CLARABEL,4.412851886538418,0.3379562322332371,0.29718088527636455
CLARABEL,4.552836080421112,0.33795623237464856,0.29718088573124224
CLARABEL,4.697260843586617,0.33795623246856216,0.29718088601070525
CLARABEL,4.84626703947823,0.3379562325294376,0.2971808861784706
CLARABEL,5.0,0.337956232565285,0.2971808862794923
SCS,0.01,0.19194267028439232,0.1480127418166955
SCS,0.010317219334529941,0.19227191496290333,0.14803535663157383
SCS,0.010644501479679849,0.19261088448915017,0.1480593536105882
SCS,0.01098216564725855,0.1929606065515733,0.14808489290558796
SCS,0.01133054117509065,0.19332142247395745,0.14811207337331617
SCS,0.011689967848233283,0.19369368417505844,0.14814100014682116
SCS,0.01206079623038258,0.1940777547371109,0.1481717850503469
SCS,0.012443388005792904,0.19447400876001975,0.1482045470194513
SCS,0.012838116332042453,0.19488283272672371,0.1482394125467413
SCS,0.013245366203989306,0.19530462538014773,0.14827651615469034
SCS,0.013665534829272791,0.1957397981121142,0.14831600089707353
SCS,0.014099032015726563,0.1961887753645896,0.14835801889062278
SCS,0.014546280571081073,0.19665199504366063,0.14840273187858252
SCS,0.015007716715345489,0.19712990894664276,0.14845031182791674
SCS,0.015483790506271073,0.19762298320273602,0.14850094156199328
SCS,0.015974966278311103,0.19813169872766082,0.14855481543064922
SCS,0.016481723095505524,0.1986565516927146,0.14861214001961126
SCS,0.017004555218731825,0.19919805400870855,0.14867313490132175
SCS,0.017543972587778206,0.19975673382525547,0.14873803342929204
SCS,0.01810050131870886,0.20030835697040603,0.14880409349607898
SCS,0.018674684217006774,0.20085370620075976,0.14887146650608707
SCS,0.019267081306994352,0.201416354977146,0.14894314823368845
SCS,0.019878270378048252,0.20199685206074453,0.14901941197382831
SCS,0.02050884754814132,0.20259576363438217,0.14910054806302353
SCS,0.02115942784526107,0.20321367384130415,0.1491868649014775
SCS,0.021830645807271874,0.20385118535491023,0.14927869003369404
SCS,0.022523156100806047,0.2045089199665678,0.14937637128815578
